类型,角度组合,结果
组合角度,上投27°左投37°,FAIL
组合角度,上投26°右投35°,PASS
组合角度,上投26°右投36°,FAIL
组合角度,上投26°左投36°,PASS
组合角度,上投26°左投37°,FAIL
组合角度,上投25°右投35°,PASS
组合角度,上投25°右投36°,FAIL
组合角度,上投25°左投36°,PASS
组合角度,上投25°左投37°,FAIL
组合角度,上投24°右投34°,PASS
组合角度,上投24°右投35°,FAIL
组合角度,上投24°左投36°,PASS
组合角度,上投24°左投37°,FAIL
组合角度,上投23°右投34°,PASS
组合角度,上投23°右投35°,FAIL
组合角度,上投23°左投35°,PASS
组合角度,上投23°左投36°,FAIL
组合角度,上投22°右投34°,PASS
组合角度,上投22°右投35°,FAIL
组合角度,上投22°左投35°,PASS
组合角度,上投22°左投36°,FAIL
组合角度,上投21°右投34°,PASS
组合角度,上投21°右投35°,FAIL
组合角度,上投21°左投35°,PASS
组合角度,上投21°左投36°,FAIL
组合角度,上投20°右投34°,PASS
组合角度,上投20°右投35°,FAIL
组合角度,上投20°左投35°,PASS
组合角度,上投20°左投36°,FAIL
组合角度,上投19°右投34°,PASS
组合角度,上投19°右投35°,FAIL
组合角度,上投19°左投35°,PASS
组合角度,上投19°左投36°,FAIL
组合角度,上投18°右投34°,PASS
组合角度,上投18°右投35°,FAIL
组合角度,上投18°左投35°,PASS
组合角度,上投18°左投36°,FAIL
组合角度,上投17°右投34°,PASS
组合角度,上投17°右投35°,FAIL
组合角度,上投17°左投35°,PASS
组合角度,上投17°左投36°,FAIL
组合角度,上投16°右投34°,PASS
组合角度,上投16°右投35°,FAIL
组合角度,上投16°左投35°,PASS
组合角度,上投16°左投36°,FAIL
组合角度,上投15°右投34°,PASS
组合角度,上投15°右投35°,FAIL
组合角度,上投15°左投35°,PASS
组合角度,上投15°左投36°,FAIL
组合角度,上投14°右投34°,PASS
组合角度,上投14°右投35°,FAIL
组合角度,上投14°左投35°,PASS
组合角度,上投14°左投36°,FAIL
组合角度,上投13°右投34°,PASS
组合角度,上投13°右投35°,FAIL
组合角度,上投13°左投35°,PASS
组合角度,上投13°左投36°,FAIL
组合角度,上投12°右投34°,PASS
组合角度,上投12°右投35°,FAIL
组合角度,上投12°左投35°,PASS
组合角度,上投12°左投36°,FAIL
组合角度,上投11°右投34°,PASS
组合角度,上投11°右投35°,FAIL
组合角度,上投11°左投35°,PASS
组合角度,上投11°左投36°,FAIL
组合角度,上投10°右投34°,PASS
组合角度,上投10°右投35°,FAIL
组合角度,上投10°左投35°,PASS
组合角度,上投10°左投36°,FAIL
组合角度,上投9°右投34°,PASS
组合角度,上投9°右投35°,FAIL
组合角度,上投9°左投35°,PASS
组合角度,上投9°左投36°,FAIL
组合角度,上投8°右投34°,PASS
组合角度,上投8°右投35°,FAIL
组合角度,上投8°左投35°,PASS
组合角度,上投8°左投36°,FAIL
组合角度,上投7°右投34°,PASS
组合角度,上投7°右投35°,FAIL
组合角度,上投7°左投34°,PASS
组合角度,上投7°左投35°,FAIL
组合角度,上投6°右投34°,PASS
组合角度,上投6°右投35°,FAIL
组合角度,上投6°左投34°,PASS
组合角度,上投6°左投35°,FAIL
组合角度,上投5°右投31°,PASS
组合角度,上投5°右投32°,FAIL
组合角度,上投5°左投32°,PASS
组合角度,上投5°左投33°,FAIL
组合角度,上投4°右投29°,PASS
组合角度,上投4°右投30°,FAIL
组合角度,上投4°左投30°,PASS
组合角度,上投4°左投31°,FAIL
组合角度,上投3°右投29°,PASS
组合角度,上投3°右投30°,FAIL
组合角度,上投3°左投30°,PASS
组合角度,上投3°左投31°,FAIL
组合角度,上投2°右投29°,PASS
组合角度,上投2°右投30°,FAIL
组合角度,上投2°左投30°,PASS
组合角度,上投2°左投31°,FAIL
组合角度,上投1°右投29°,PASS
组合角度,上投1°右投30°,FAIL
组合角度,上投1°左投30°,PASS
组合角度,上投1°左投31°,FAIL
组合角度,下投1°右投29°,PASS
组合角度,下投1°右投30°,FAIL
组合角度,下投1°左投30°,PASS
组合角度,下投1°左投31°,FAIL
组合角度,下投2°右投28°,PASS
组合角度,下投2°右投29°,FAIL
组合角度,下投2°左投29°,PASS
组合角度,下投2°左投30°,FAIL
组合角度,下投3°右投28°,PASS
组合角度,下投3°右投29°,FAIL
组合角度,下投3°左投29°,PASS
组合角度,下投3°左投30°,FAIL
组合角度,下投4°右投28°,PASS
组合角度,下投4°右投29°,FAIL
组合角度,下投4°左投29°,PASS
组合角度,下投4°左投30°,FAIL
组合角度,下投27°右投19°,PASS
组合角度,下投27°右投20°,FAIL
组合角度,下投28°右投18°,PASS
组合角度,下投28°右投19°,FAIL
组合角度,下投28°左投19°,PASS
组合角度,下投28°左投20°,FAIL
组合角度,下投29°右投18°,PASS
组合角度,下投29°右投19°,FAIL
组合角度,下投29°左投19°,PASS
组合角度,下投29°左投20°,FAIL
组合角度,下投30°右投17°,PASS
组合角度,下投30°右投18°,FAIL
组合角度,下投30°左投18°,PASS
组合角度,下投30°左投19°,FAIL
组合角度,下投31°右投17°,PASS
组合角度,下投31°右投18°,FAIL
组合角度,下投31°左投18°,PASS
组合角度,下投31°左投19°,FAIL
组合角度,下投34°右投9°,PASS
组合角度,下投34°右投10°,FAIL
